"text","type","formality_label","formality_explanation"
"The next release of the open-source browser includes more flexible video options, better Javascript performance, updated font support and single-click appearance customization through the Personas skinning system.","blog","neutral",""
"CheatingDome.com 19.911 Cheats.com 20.","answers","neutral",""
"He doesn't want to have to be either ""the jock"" or ""the geek""; he wants enough freedom from dated cultural definitions to be both, and more.","news","neutral",""
"They argued that Quinn should clean house, but he has kept several high-profile Blagojevich appointees, moving them into different state jobs.","news","neutral",""
"And the message Paul Pierce wanted to get across in the locker room during the break was simple: Throw dirt on them.","news","neutral",""
"Team members couldn't figure out what was wrong and turned to him.","news","neutral",""
"Scozzafava's critics said she's too moderate, even liberal.","news","neutral",""
"The Czech Republic - the only country not to sign - is showing signals that it will comply in the coming weeks.","blog","neutral",""
"Is it having an impact?","answers","neutral",""
"MacGyver promptly threw up his own heart.","answers","neutral",""
"There isn't an appropriate way to ask guests to pay for their meal.","answers","neutral",""
"Also eczema that hasn't broke through the skin yet.","answers","neutral",""
"""Bill Grant was a giant. So the fact that Laura stepped forward - people will take that into account.""","news","neutral",""
"Indian paramilitary officers point machine guns across the water.","news","neutral",""
"Buy a realistic looking plastic spider.","answers","neutral",""
"""It's a big disaster,"" he said.","news","neutral",""
"They will keep the tank clean for you.","answers","neutral",""
"Trust me -- employment contracts with CEOs don't come any simpler.","blog","neutral",""
"India and Pakistaan over Kashmir.","answers","neutral",""
"Mr. Azenberg declined to comment on Friday night.","blog","neutral",""
"Can we please go forward?","answers","neutral",""
"As you know, there is alot of older folks in your state that are going to wonder if that is how they are going to pull the pin on them, a slow death by starvation ordered by the state.","email","neutral",""
"The projected drop in employment would be the smallest since August 2008, indicating the labor market is deteriorating at a slower pace.","news","neutral",""
"I promise she will call if and when she needs you.","answers","neutral",""
"Wallechinsky noted, however, that if Yuan divulged how that happened, ""he would have to leave China immediately.""","news","neutral",""
"Either way, we're gonna find out, and with it, the weight of whatever Johnston may or may not have, and the character of his balls if forced to move it forward.","blog","neutral",""
"You all have had to grow up so quickly because of this.","answers","neutral",""
"We could not have done this without the help of the media.","email","neutral",""
"Hello, Carlos.","answers","neutral",""
"Currently, you can't answer/ask/vote / rate questions.","answers","neutral",""
"GENERALLY THE NUMERALS ARE 1, 2 OR 6.","answers","neutral",""
"Peoria is about 13 miles northwest of Phoenix.","news","neutral",""
"She mentioned her missing Bianca and wondered aloud if she could be hidden in Monterrey with grandparents.","news","neutral",""
"it sounds like you may have sprained the groin area.","answers","neutral",""
"So far, it has not gotten that much of a reaction, perhaps because the little kids around here are very polite.","blog","neutral",""
"But scores of others from surrounding villages must negotiate the river.","news","neutral",""
"Self worried about the oil's impact on eelgrass beds around Alameda, which provide important spawning habitat for herring.","news","neutral",""
"(Other estimates have found smaller solar land needs.)","blog","neutral",""
"Conseco Fieldhouse for Pacers","answers","neutral",""
"Google Launches Music Search: Partners with MySpace, Lala, Gracenote and Others","blog","neutral",""
"She never even had to speak a word.","answers","neutral",""
"This is a hopeful turn of events.","blog","neutral",""
"How long will that take?","answers","neutral",""
"Thank you so much.","email","neutral",""
"Will the NRCC shift gears and start buying ads supporting Hoffman in the final three days of this race?","blog","neutral",""
"Additional: Blue Rgde: Congress raised the taxes.","answers","neutral",""
"However, today we are very pleased!","email","neutral",""
"New York City's official anthem from 2009 is now officially stamped with a music video.","blog","neutral",""
"Thus far, the puzzlers are 440 sacks into the process.","news","neutral",""
"Its going to be on October 26, 2007.","answers","neutral",""
"The batters box is owned by the hitter.","answers","neutral",""
"""Then tell us that our view is wrong. Then we will apologize - no problem.""","news","neutral",""
"And, I am still actively heterosexual.","answers","neutral",""
"(Another photo of the accused can be seen here.)","answers","neutral",""
"Experience is the hardest teacher.","email","neutral",""
"I've known her for three months.","answers","neutral",""
"Place all over house or yard.","answers","neutral",""
"Although, while paying, they of course, found it amusing to threaten physical violence.","email","neutral",""
"Like, perhaps, a browser that doesn't coddle you with all that silly stability and reliable performance?","blog","neutral",""
"""It never entered the SEC's mind that it was a Ponzi scheme,"" Madoff said, because of ""the reputation I had.""","news","neutral",""
"Imagine, Michael Jackson back on a stage doing what he was born to do, only this time doing it in death.","blog","neutral",""
"Rhizomes - they are roots or underground stems, as in ginger.","answers","neutral",""
"Linking to the Daily Times article on October 30, the Fox Nation featured the headline, ""Hillary: 'We tax everything that moves.' ""","blog","neutral",""
"Season 6 opened sans its blond starlet, who decided to move on after half a decade on the reality show circuit.","blog","neutral",""
"I fear that the pending budget debate will result in sacrificing them.","email","neutral",""
"The Dalai Lama came to Japan to take part in panel discussions with scientists but the exiled Tibetan leader did not shy away from the political spotlight.","news","neutral",""
"That's impossible... but what's wrong with that?","answers","neutral",""
"Push them together hard.","answers","neutral",""
"God heard our prayers, while YOU heard His wishes, the voice of the people, and your conscience.","email","neutral",""
"He said he'd be surprised to see him run for a lower state office.","news","neutral",""
"fatigue or loss of energy nearly every day 7.","answers","neutral",""
"She serves on the boards of the Memorial City Redevelopment Authority and the Spring Branch Medical Center.","news","neutral",""
"In which case it would be the least of your worries.","answers","neutral",""
"""There is uniform support, uniform horror at what happened. We have been abused by government, misused by government.""","news","neutral",""
"Just compare Sinegal's contract with that for the CEO and president of Costco competitor BJ's Wholesale (BJ), Laura J. Sen.","blog","neutral",""
"He had disappeared without leaving a trace.","answers","neutral",""
"The premise of extending the media experience to the cloud is a core necessity for the survival and growth of the media industry.","blog","neutral",""
"A prepackaged bankruptcy ""is probably going to go through,"" Icahn said yesterday.","news","neutral",""
"though I can not speak for AA or Al - anon both of which I am a member (our Traditions prohibit it) I will say it for myself I apprieciate your efforts to educate the public about addictions.","email","neutral",""
"The Constellation program is under pressure as a recent committee report depicted it as overly expensive.","blog","neutral",""
"Jeb Sent from my BlackBerry Wireless Handheld (www.","email","neutral",""
"What ensued was 2 1/2 hours of beatings and raping, at times with a foreign object.","news","neutral",""
"Your team does not seem too good.","answers","neutral",""
"Thank you so much for including me in the group.","email","neutral",""
"Section Three - Search Paragraph 72 A.","answers","neutral",""
"Halloween nostalgia seems to be the theme today, so with that in mind, here's a roundup of various retro Halloween cartoons, commercials, and educational films meant to scare you, school you, and make you smile.","blog","neutral",""
"Be sure to turn off the power BEFORE you start playing with the wiring.","answers","neutral",""
"NetZero - Defenders of the Free World Get your FREE Internet Access and Email at http://www.netzero.net/download/index.html","email","neutral",""
"The missing person the Coast Guard members were searching for is still missing, Farris said.","news","neutral",""
"Some even sprinkled the wheels of their cars with holy water and cruised around town to ward off witches.","news","neutral",""
"Click the ""signature"" link in the left - hand Personaliztion column.","answers","neutral",""
"This is not about healthcare.","blog","neutral",""
"She has already incorporated local food into her diet, bikes occasionally, and champions sustainable fashion.","blog","neutral",""
"A lot of people do that.","answers","neutral",""
"You've made some friends tonight","answers","neutral",""
"The appointed replacement, Rep. Don Cox, R-Colfax, had previously retired from the Legislature and did not run to keep the seat.","news","neutral",""
"Not every flower can represent LUV, but Rose did that.","answers","neutral",""
"When feeding our pets takes 17 times more land than feeding our supposedly rapacious electricity demand, it's difficult to argue that energy sprawl, for solar, is a major problem.","blog","neutral",""
"Still, casting a vote to overhaul the nation's health care system - while seated at the vote of a legendary senator and dear friend - will bring emotions that are difficult to fathom.","news","neutral",""
"You as a teenager should stop thinking about what you want.","answers","neutral",""
"They should have done the same - it is a competition!","answers","neutral",""
"Happiness is the way.","answers","neutral",""
"Fibroid tumors have a lot to do with it!","answers","neutral",""
"The firm will continue its ""Reed Smith University,"" which already offers 140 in-house courses.","blog","neutral",""
"Yes, let's all carry concealed weapons.","answers","neutral",""
"Again: the truth just sounds different.","blog","neutral",""
"Hicks said her daughter would not be trick-or-treating.","news","neutral",""
"""The rapid reshuffling of the hosts and so forth indicate it's perhaps a show on its last legs.""","news","neutral",""
"""Things will be different (on Rove) and, with the numbers attached to the recent Hey Hey outing, it's possible to see a more encompassing variety-type format when we come back,"" the source said.","news","neutral",""
"P.S. If for any reason (and I can't imagine one), you find yourself unable to appoint Mr. Verdon, I would beg you to talk with me before you make an alternate appointment.","email","neutral",""
"Not just for some fancy DRM but for real value creation.","blog","neutral",""
"The Irish are already scheduled to be back in the Lone Star State in 2013 to play Arizona State at Cowboys Stadium.","news","neutral",""
"""We believe the sec was simply negligent in its investigations and examinations of Madoff's business.""","news","neutral",""
"The daughter was hospitalized with life-threatening injuries and remains ""unresponsive,"" Peoria police said Friday.","news","neutral",""
"como para la industria agricola en si.","email","neutral",""
"It also has an IR receiver for use with an Apple Remote (not bundled; the new aluminum remote is a $19 option), a built-in iSight camera and microphone, Bluetooth and 802.11a/b/g/n wireless networking.","blog","neutral",""
"Thanks for the points, though.","answers","neutral",""
"Sgt. Matthew Adams of the Quad Cities was a respected mentor for the men, a laid-back officer who wielded a strong hand when necessary.","news","neutral",""
"Cockatiels are usually quite and when they actually do sing its not too annoying.","answers","neutral",""
"You haven't been specific, so here are the two alternatives.","answers","neutral",""
"In guruvaayoor, thrishur ditrict, kerala state, India","answers","neutral",""
"This would be disastrous to the folks who live on the Suwannee and in the Suwannee Basin.","email","neutral",""
"Xerox develops a silver ink for wearable or throwaway electronics -","blog","neutral",""
"What use cases are being discovered?","blog","neutral",""
"I am going ""on the road"" to deliver the department's message over the next week.","email","neutral",""
"[Zune] Subscribe to the Podcast directly in the Zune Marketplace","blog","neutral",""
"My Daughter's name is Kasandra Kathryn (Kassy) I also like Emma.","answers","neutral",""
"Only now have the first signs of her fate surfaced, reinvigorating a search her mother never abandoned.","news","neutral",""
"Our county, Osceola,is the fastest growing county in the state of Florida","email","neutral",""
"Their hope is to tell people in the Bay Area and everyone else who has seen national coverage of the case that the attack does not define Richmond High.","news","neutral",""
"PROTOCOL No. 2 1.","answers","neutral",""
"The Egyptian President, Hosni Mubarak, has promised further domestic reforms at the annual conference of his ruling National Democratic Party in Cairo.","news","neutral",""
"Yes, I can, but it's not very lady - like.","answers","neutral",""
"Compliance Services, OSHA osh Is your organization compliant with OSHA regulations?","answers","neutral",""
"""We feel we can be more competitive in these areas.""","news","neutral",""
"They need a politician who will vote against taxes, vote against bigger government programs, and vote against invasive regulation.","blog","neutral",""
"The Republican Governors Association is lending a helping hand to Christie, spending just over $5 million on 6,032 advertisements.","blog","neutral",""
"I planned on staying a day maybe two but ended up staying till Friday at 11:30 am.","blog","neutral",""
"The other candidates, he said, seemed to pander at times.","news","neutral",""
"When asked if the Governator was rusty since he hasn't been on screen since 2004's Around the World in 80 Days and has spent most of his time in Sacramento, Stallone laughs and says no.","blog","neutral",""
"""Bruce says 'Well, there's one other person I want to talk to before I hire you,"" says Stallone.","blog","neutral",""
"He leaves it in his car.","answers","neutral",""
"Yahoo is a dark horse in the race for the social web, even though it has a lot going for it.","blog","neutral",""
"These parents should try to protect others as well as their own.","answers","neutral",""
"I would say men.","answers","neutral",""
"No arrests have been made.","blog","neutral",""
"""The purpose of this book is to tell the truth. It's just about the truth and nothing more,"" he said.","news","neutral",""
"I find that getting upset over this has acum to nothing, I will always try my best but this is not the way to learn for me and other teachers and students.","email","neutral",""
"Just remeber to listen to the instructions what your dentist will give you.","answers","neutral",""
"But those two would be anti - climactic.","answers","neutral",""
"So it went pretty much how many of O'Reilly's frequent appearances on The View go - good-natured fun, some awkward moments and an honest chat.","blog","neutral",""
"The move comes after the EU last week backed plans to split nationalised Northern Rock in two.","news","neutral",""
"Many Chinese officials, he says, wanted to use overseas Chinese groups as proxies to counterattack, while Yuan thought the Olympic committee needed to tackle the issue directly.","news","neutral",""
"why are you asking that?","answers","neutral",""
"If you've been together that long chances are you really enjoy being together.","answers","neutral",""
"""That part of our lives with (Mirinae) is over.""","news","neutral",""
"Despite all of the custodial trauma Levi's claiming, you've gotta wonder if he isn't enjoying his time in the limelight.","blog","neutral",""
"They deleted your poem?","answers","neutral",""
"But I later recognized that I was on the wrong path.","answers","neutral",""
"Use either an ice pack or heat, which ever helps ease the pain.","answers","neutral",""
"Have sex three times a week.","answers","neutral",""
"Click the ""Add Filter"" button to put your new filter into effect.","answers","neutral",""
"Yancey as our new Superintendent of Marion County.","email","neutral",""
"Still, the overwhelming majority of publicly traded companies do offer them, and we're guessing that's because an overwhelming number of top execs (and their lawyers) ask for them as a condition of employment.","blog","neutral",""
"Avoid hand - me-down toys and supplies.","answers","neutral",""
"The herring season - the bay's last commercial fishery - was canceled in September because of concerns about the health of the fish population.","news","neutral",""
"They take no chances at the annual Marine Corps Marathon, held last Sunday in Washington, D.C., where thousands of spotters watch every runner, every step.","news","neutral",""
"CJR","email","neutral",""
"I would strongly recommend feeding her dog food.","answers","neutral",""
"The latest data adds fuel to the reports that the over-stretched well-heeled middle classes are turning to the stimulant to ""power them up"" over hectic weekends.","news","neutral",""
"The plans come amid growing concern about the number and severity of infections in children.","news","neutral",""
"However, ever optimistic, I'll proceed:","email","neutral",""
"this was the relgious and spirituality section.","answers","neutral",""
"She said jumped at the chance to ride on the ship's inaugural voyage, which is scheduled to end in New York on Monday.","blog","neutral",""
"295 (1986) (Cert.","answers","neutral",""
"Some ideas is to ask family members to help you make the food yourself.","answers","neutral",""
"""He's been just extraordinarily well received by colleagues.""","news","neutral",""
"Do 60 minutes of additional, higher intensity cardio each week.","answers","neutral",""
"Then after the American invasion of 2003, business came to a halt.","news","neutral",""
"The only way your loved one lives on is in your memories.","answers","neutral",""
"Ultimately, it was the leadership of the party itself that elected to turn their backs on her, with the chairman of the Republican Party, Michael Steele, saying yesterday that a victory by third-party insurgent candidate Doug Hoffman was just like a Republican victory to him.","blog","neutral",""
"""It creates less disruption to the business because you're in bankruptcy a shorter period of time.""","news","neutral",""
"Well, maybe she didn't really force him since it looks like wearing a dress and lipstick is giving him the drips.","blog","neutral",""
"You are not asked for papers for Hindu religious weddings though.","answers","neutral",""
"The sender is a Fransiscan priest in Jakarta, who received this e - mail from Mgr.","email","neutral",""
"Published in the Dayton Daily News on 1/9/2006.","answers","neutral",""
"Think of your product like a pie chart of the value you are giving the consumer.","blog","neutral",""
"Sowell initially denied he was the man authorities were looking for but admitted his identity as officers began fingerprinting him, Stacho said.","news","neutral",""
"Yes, I think Iran is on their list.","answers","neutral",""
"Nutt's supporters say his comments were consistent with his argument that drugs policy should be evidence-based.","news","neutral",""
"< mailto:jamienick@msn.com","email","neutral",""
"""Obviously, I've already kind of talked about the yards already this year being something more important to me later in life,"" Nichols said.","news","neutral",""
"Your reward will be in heaven.","answers","neutral",""
"I remember he got the mop and started cleaning up the blood.""","answers","neutral",""
"Politicians are afraid of losing Hispanic votes.","answers","neutral",""
"It is also called Akalbodhan, Vijaya Dashami, Dashain, and Dussehra.","answers","neutral",""
"I slid across all 4 lanes backwards and ran into a fence.","answers","neutral",""
